LOG1;LOCAL;TIPO_ACID;DIA_SEM;TEMPO;NOITE_DIA;REGIAO;LONGITUDE;LATITUDE;ANO
AV EDGAR PIRES DE CASTRO;Logradouro;QUEDA;DOMINGO;BOM;DIA;SUL;-51,1287;-30,195084;2013
ESTR JOAO ANTONIO SILVEIRA;Logradouro;ABALROAMENTO;TERCA-FEIRA;BOM;DIA;SUL;-51,135082;-30,151672;2013
R CAIRU;Logradouro;ABALROAMENTO;SABADO;BOM;DIA;NORTE;-51,197183;-30,004544;2013
ESTR JOAO DE OLIVEIRA REMIAO;Logradouro;CHOQUE;QUINTA-FEIRA;BOM;DIA;LESTE;-51,108772;-30,11627;2013
R JOSE DE ALENCAR;Logradouro;ABALROAMENTO;SABADO;BOM;DIA;SUL;-51,228438;-30,058878;2013
ESTR ANTONIO SEVERINO;Logradouro;COLISAO;TERCA-FEIRA;BOM;NOITE;NORTE;-51,10025;-30,01822;2013
R OLAVO BILAC;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;DIA;CENTRO;-51,214273;-30,040564;2013
R ENG OSCAR DE OLIVEIRA RAMOS;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;NOITE;SUL;-51,14442;-30,145478;2013
AV PADRE CACIQUE;Logradouro;ATROPELAMENTO;SABADO;BOM;NOITE;SUL;-51,238698;-30,069168;2013
AV VICENTE MONTEGGIA;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;DIA;SUL;-51,223963;-30,100501;2013
AV PROTASIO ALVES;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;DIA;LESTE;-51,182595;-30,04245;2013
AV PADRE CACIQUE;Logradouro;CAPOTAGEM;SABADO;BOM;NOITE;SUL;-51,23868;-30,069066;2013
R VINTE QUATRO DE OUTUBRO;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;DIA;LESTE;-51,203382;-30,025798;2013
AV MANOEL ELIAS;Logradouro;ABALROAMENTO;SEXTA-FEIRA;BOM;NOITE;NORTE;-51,120078;-30,024711;2013
ESTR JOAO DE OLIVEIRA REMIAO;Logradouro;CHOQUE;SEGUNDA-FEIRA;BOM;NOITE;LESTE;-51,125843;-30,098813;2013
R VISCONDE DE MACAE;Logradouro;ABALROAMENTO;QUARTA-FEIRA;CHUVOSO;DIA;NORTE;-51,155533;-30,0128;2013
R DARCY PEREIRA POZZI;Logradouro;ABALROAMENTO;QUINTA-FEIRA;BOM;DIA;SUL;-51,156522;-30,167486;2013
AV DA CAVALHADA;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;DIA;SUL;-51,224937;-30,115301;2013
AV EDVALDO PEREIRA PAIVA;Logradouro;CHOQUE;SABADO;BOM;DIA;SUL;-51,238649;-30,041387;2013
AV FARRAPOS;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;DIA;NORTE;-51,200654;-30,00461;2013
R CAIRU;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;DIA;NORTE;-51,201631;-30,003192;2013
AV ASSIS BRASIL;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;DIA;NORTE;-51,162629;-30,010251;2013
R ZEPPELIN;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;DIA;LESTE;-51,099868;-30,125628;2013
ESTR JOAO DE OLIVEIRA REMIAO;Logradouro;CHOQUE;DOMINGO;BOM;NOITE;LESTE;-51,132104;-30,090194;2013
AV PROTASIO ALVES;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;DIA;LESTE;-51,178859;-30,0412;2013
R CURUPAITI;Logradouro;COLISAO;SEXTA-FEIRA;BOM;DIA;SUL;-51,238773;-30,08305;2013
AV EDGAR PIRES DE CASTRO;Logradouro;ABALROAMENTO;SEGUNDA-FEIRA;BOM;DIA;SUL;-51,114775;-30,204787;2013
AV CRISTOVAO COLOMBO;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;NOITE;CENTRO;-51,210714;-30,023369;2013
PCA LIBANEZA;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;DIA;NORTE;-51,150937;-30,004845;2013
AV SERTORIO;Logradouro;COLISAO;SEXTA-FEIRA;BOM;NOITE;NORTE;-51,141678;-29,996895;2013
AV CARLOS GOMES;Logradouro;ATROPELAMENTO;DOMINGO;BOM;NOITE;LESTE;-51,181434;-30,027162;2013
